Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Source,Search_Query
Ilha Dental,http://www.ilhadental.com.br/,"R. Duarte Schutel, 89 - Centro, Florianópolis - SC, 88015-640, Brazil",4.3,9.0,+55 48 3225-2359,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental Brasil,,"Av. Marcolino Martins Cabral, 600 - Centro, Tubarão - SC, 88701-001, Brazil",4.2,5.0,+55 48 98436-5680,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Indústria e Comércio de Materiais Dentários Corrêa,,"Servidão Morfim, 202 - Estreito, Florianópolis - SC, 88075-040, Brazil",,,+55 48 3240-7548,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Biodental Produtos,http://www.biodentalprodutos.com.br/,"Rua Antônio de Lucca, 20 - Sala 101 - Pio Corrêa, Criciúma - SC, 88801-240, Brazil",5.0,7.0,+55 48 3433-5881,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental Kobrasol,http://www.dentalkobrasol.com.br/,"R. Brasilpinho, 74 - Kobrasol, São José - SC, 88102-300, Brazil",3.9,15.0,+55 48 3259-1500,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
"SD Saúde e Beleza - Sul Dental - Venda, no atacado e varejo, de materiais para uso em clínicas e consultórios.",https://bio.site/sdsaudebeleza,"Av. Pref. Osmar Cunha, 183 - Bloco B - Sala 508 - Centro, Florianópolis - SC, 88015-100, Brazil",5.0,25.0,+55 48 99925-1169,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental Business | Produtos para Harmonização Facial e Corporal,http://www.dentalbusiness.com.br/,"Av. do Estado Dalmo Vieira, 1555 - 2º Andar - Pioneiros, Balneário Camboriú - SC, 88331-150, Brazil",4.3,6.0,+55 47 99925-1113,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
DZ Equipamentos Odontológicos - Consultórios - Periféricos - SAEVO - NSK,,"R. Felipe Schmidt, 649 - sala 907 - Centro, Florianópolis - SC, 88010-001, Brazil",5.0,2.0,+55 48 3039-8215,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
FGM Products Odontologicos Ltda,https://fgmdentalgroup.com/,"Av. Edgar Nelson Meister, 474 - Zona Industrial Norte, Joinville - SC, 89219-501, Brazil",4.2,42.0,+55 800 644 6100,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Praiana Ind e Com de Produtos Odontológicos,,"Av. Lédio João Martins, 201 - Kobrasol, São José - SC, 88102-000, Brazil",,,+55 48 3034-7890,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
DENTALTECH Assistência técnica equipamentos odontologica,,"R. 1101, 431 - Centro, Balneário Camboriú - SC, 88330-780, Brazil",5.0,1.0,+55 47 99635-3842,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Minas Medical,http://www.minasmedical.com.br/,"R. Santa Quitéria, 432 - Carlos Prates, Belo Horizonte - MG, 30710-460, Brazil",4.9,9.0,+55 31 2112-5151,"health, point_of_interest, store, establishment",Google Places API,Medical Manufacturer Minas Gerais
Abbott,,"Rua Professor José Vieira de Mendonça, 1301 - Engenho Nogueira, Belo Horizonte - MG, 34000-000, Brazil",4.7,29.0,+55 31 3888-5217,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
MG MEDICAL MATERIAIS MÉDICOS HOSPITALARES,,"Alameda das Patativas, 246 - Sala 102 - Cabral, Contagem - MG, 32146-039, Brazil",5.0,3.0,+55 31 3355-8071,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
GE Healthcare,http://www3.gehealthcare.com.br/,"Via Ver. Joaquim Costa, 1405 - Campina Verde, Contagem - MG, 32150-240, Brazil",4.5,13.0,+55 3004-2525,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
MG Medical - Soluções Hospitalares,http://www.mgmedical.med.br/,"Av. Luís Antônio Carvalho, 179 - Vila Mariana, Cambuí - MG, 37600-000, Brazil",,,+55 35 3431-4443,"health, point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Easelabs Indústria Farmacêutica,https://easelabspharma.com.br/,"Av. Waldomiro Lobo, 641 - São Bernardo, Belo Horizonte - MG, 31814-620, Brazil",5.0,63.0,+55 800 301 5489,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Contourline Equipamentos Médicos e Diagnósticos,https://contourline.com.br/,"R. Joaquim Dias Drumond, 100 - Henrique Nery, Sete Lagoas - MG, 35700-333, Brazil",5.0,57.0,+55 31 3775-0709,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
MedBras Industria e Comercio Ltda,,"Av. Norte-Sul, 1315 - Distrito Industrial, Pirapora - MG, 39270-000, Brazil",3.6,33.0,+55 38 3741-3059,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Bio Hospitalar Loja e Distribuidora de produto Médicos hospitalares,https://www.biohospitalar.com.br/,"R. Minas Gerais, 1366 - Centro, Divinópolis - MG, 35500-007, Brazil",4.7,52.0,+55 37 3214-3636,"health, wholesaler, point_of_interest, store, establishment",Google Places API,Medical Manufacturer Minas Gerais
Manancial Medical,https://www.manancialmedical.com.br/,"R. Sr. do Bonfim, 929 - Santa Maria, Vespasiano - MG, 33205-230, Brazil",5.0,68.0,+55 31 3991-0184,"health, wholesaler, point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Advanced – Indústria Médica,https://advancedmedical.com.br/contato/,"R. Gracyra Resse de Gouvêia, 1525 - Dom I. Jardim Piemonte / Norte, Betim - MG, 32689-372, Brazil",5.0,1.0,+55 31 3146-5811,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
VMG Farmacêutica,https://vmgfarmaceutica.com.br/,"R. Caetano Pirri, 520 - Milionários, Belo Horizonte - MG, 30620-070, Brazil",4.8,6.0,+55 31 3115-6120,"health, point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
TECH MINAS,https://www.techminas.com/,"R. Barão de Leopoldina, 351 - Alto dos Pinheiros, Belo Horizonte - MG, 30530-080, Brazil",4.1,9.0,+55 31 3376-2638,"health, point_of_interest, store, establishment",Google Places API,Medical Manufacturer Minas Gerais
Oximil Oxigênio Minas Gerais,http://www.oximil.com.br/,"Avenida das industrias, 1000 - Distrito Industrial de Ibirite, Ibirité - MG, 32400-000, Brazil",4.5,80.0,+55 31 3385-6268,"health, point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Saga Medição,http://sagamedicao.com.br/,"Rodovia BR 135 Nº 1456 - Quadra 02 - Bocaiúva, MG, 39390-000, Brazil",4.7,155.0,+55 38 3251-1666,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Medictech Ind.e Comércio,http://www.medictech.com.br/,"Rua Maria Gomes de Almeida, 112 - Planalto, Belo Horizonte - MG, 31730-685, Brazil",,,+55 31 99628-9958,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Libertae Medical Tech Ltda,https://libertaemedicaltech.kicatalogo.com/?fbclid=PAb21jcANPrI9leHRuA2FlbQIxMQABp6PC-f1qRRzm8rn1vrIxlY3xDlPxJPX-pHOnUJ7ydku9xaQKrwlVVo1enm-8_aem_Eg7CJnl0WBVCfPFrZ-w9fw,"R. José Dale, 116 - Centro, Paraopeba - MG, 35774-000, Brazil",5.0,15.0,+55 31 99710-5254,"health, point_of_interest, store, establishment",Google Places API,Medical Manufacturer Minas Gerais
VMI Médica - Fábrica de equipamentos de Raios X em Minas Gerais,http://www.vmimedica.com/,"Alves da Silva - R. Pref. Eliseu Alves da Silva, 4000 - Distrito Industrial Genesco Aparecido De Oliveira, Lagoa Santa - MG, 33240-097, Brazil",5.0,20.0,+55 31 3370-3750,"doctor, health, point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Agitec Hospitalar (Autorizada ORTOSINTESE em MG) Vendas de Peças e Equipamentos & Assist. Técnica,https://agitechospitalar.com.br/,"R. Cantagalo, 139 - Aparecida, Belo Horizonte - MG, 31230-770, Brazil",4.4,12.0,+55 31 3201-7704,"health, point_of_interest, store, establishment",Google Places API,Medical Manufacturer Minas Gerais
OrthoDynamic,http://orthodynamic.com.br/,"R. Jacarandás, 56 - Eldorado, Contagem - MG, 32310-340, Brazil",4.3,6.0,+55 31 3395-7120,"point_of_interest, establishment",Google Places API,Medical Manufacturer Minas Gerais
Ortosintese | Divisão Ortopedia,http://www.ortosintese.com.br/,"Av. Nelson Palma Travassos, 651 - Lot. City Jaragua, São Paulo - SP, 02998-000, Brazil",5.0,3.0,+55 11 3948-4000,"point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
IOL - Implantes Ortopédicos,https://iolimplantes.com.br/,"R. Doná Maria Fidélis, 226 - Piraporinha, Diadema - SP, 09950-350, Brazil",4.6,54.0,+55 11 4070-5700,"store, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Ocx Implantes,http://ocximplantes.com.br/,"R. João Pacheco, 89 - Luz, São Paulo - SP, 01107-030, Brazil",4.0,1.0,+55 11 4306-4274,"point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
LINK DISTRIBUICAO DE PRODUTOS ORTOPEDICOS DO BRASIL LTDA,https://www.linkorthopaedics.com/pt,"R. Inácio Luís da Costa, 1632 - Salas 5 e 6 - Parque Sao Domingos, São Paulo - SP, 05112-010, Brazil",,,+55 11 3835-9513,"health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Abimade Produtos Médicos para Ortopedia (tratamento da dor),http://abimade.com.br/,"R. Avencas, 74 - Recanto Sombra do Ipê, Santana de Parnaíba - SP, 06513-212, Brazil",5.0,3.0,+55 11 4622-7555,"point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Spine Implantes Importação e Exportação,http://www.spineimplantes.com.br/,"R. 27, 1886 - Jardim Mirassol, Rio Claro - SP, 13503-140, Brazil",5.0,3.0,+55 19 3522-2260,"health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Spine Sys - Implantes Ortopédicos,http://www.spinesys.com.br/,"R. Um, 2209 - Centro, Rio Claro - SP, 13500-142, Brazil",4.9,15.0,+55 19 3532-1021,"point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Ortho System Comércio de Implantes Ortopédicos,http://osimplantes.com.br/,"R. Quatorze, 1281 - Vila do Radio, Rio Claro - SP, 13500-270, Brazil",4.0,4.0,+55 19 3522-4419,"health, store, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Premium Medical Soluções em Imagem,http://www.premiumortopedia.com.br/,"R. Dr. Abelardo Vergueiro César, 526 - Vila Alexandria, São Paulo - SP, 04635-080, Brazil",5.0,1.0,+55 11 94143-8840,"health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Ortocir Ortopedia Cirurgia,http://www.ortocir.com.br/,"R. Itapicuru, 937 - Perdizes, São Paulo - SP, 05006-000, Brazil",4.3,3.0,+55 11 3674-6786,"health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Ótima,http://otimaindustria.com.br/,"Av. Maria Servidei Demarchi, 2405 – São Bernardo do Campo / SP – CEP: - Demarchi, São Bernardo do Campo - SP, 09820-000, Brazil",5.0,1.0,+55 11 2897-5200,"point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Globomedical Implantes Médicos Importados,https://www.globomedical.com.br/,"Rua Lincoln Albuquerque, 259 - Perdizes, São Paulo - SP, 05004-010, Brazil",4.0,12.0,+55 11 3862-4427,"health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Biomecanica,http://www.biomecanica.com.br/,"R. Luiz Pengo, 145 - Jardim Orlando Chesini Ometto, Jaú - SP, 17212-811, Brazil",4.3,15.0,+55 14 2104-7900,"corporate_office, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Mag SD Implantes,http://www.magimplantes.com.br/,"Av. Expedito Quartieri, 1440 - Jardim Sbeghen, Mogi Mirim - SP, 13802-100, Brazil",5.0,2.0,+55 19 3805-9292,"health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
HelpMed Implantes,https://www.helpmedimplantes.com.br/,"R. Antônio Guedes da Silva, 53 - Sala 3 - Gopouva, Guarulhos - SP, 07093-150, Brazil",,,+55 11 2376-5818,"doctor, health, point_of_interest, establishment",Google Places API,Fabricante implantes ortopédicos SP
Medihosp - Distribuidora de materiais Médico- Hospitalares Ltda.,http://medihosp.com.br/,"Rua Robert Bosch, 315 - Parque Industrial Tomas Edson, São Paulo - SP, 01141-010, Brazil",3.1,16.0,+55 11 2501-6272,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Luimed Distribuidora,http://luimed.com.br/,"Rua Willis Roberto Banks, 487 - Parque Maria Domitila, São Paulo - SP, 05128-000, Brazil",4.6,38.0,+55 11 3977-1777,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Mirassol Hospitalar – Distribuidora de Produtos Médicos e Farmacêuticos,https://mirassolhospitalar.odoo.com/,"Av. Amélia Scarpelli Colombo, 951 - Jardim Tarraf II, São José do Rio Preto - SP, 15057-605, Brazil",4.9,70.0,+55 17 2122-2826,"wholesaler, health, point_of_interest, store, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
"RS Distribuidora de Produtos Hospitalar, Médico, Limpeza, Descartável e Medicamentos",https://rsmedi.com.br/,"R. Princesa Maria Amélia, 570 - Nova Petrópolis, São Bernardo do Campo - SP, 09771-120, Brazil",5.0,1.0,+55 11 98363-3064,"health, point_of_interest, store, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
MAIS MEDICAL DISTRIBUIDORA HOSPITALAR,,"Av. T-9, 1979 - QD-552 LT-18 - Jardim América, Goiânia - GO, 74255-220, Brazil",5.0,1.0,+55 62 3015-8441,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
FM Hospitalar Distribuidora,https://www.fmhospitalar.com.br/,"R. Pedro José Lorenzini, 207 - Centro, São Caetano do Sul - SP, 09521-070, Brazil",5.0,39.0,+55 11 2897-8023,"health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
"MedicalSP Distribuidora de Medicamentos, Materiais Hospitalares e Soro Fisiológico",,"Rua Serra da Mantiqueira Jardim Helena Maria 73 - Lote 15/16 - QuadraE, Vargem Grande Paulista - SP, 06730-000, Brazil",5.0,8.0,+55 11 4210-3203,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Brasilhosp-Brasil Produtos Médicos e Hospitalares,,"Av. Ana Jansen, 1040 - São Francisco, São Luís - MA, 65076-730, Brazil",4.4,14.0,+55 98 3227-1116,"health, point_of_interest, store, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Farmatex do Brasil | Importação e Distribuição de Produtos Hospitalares,http://www.farmatex.com.br/,"Rua Roberto Ozório de Almeida, 1010 - Cidade Industrial de Curitiba, Curitiba - PR, 81460-110, Brazil",5.0,9.0,+55 41 3078-7760,"health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Medic Distribuidora de Equipamentos Médicos Ltda.,http://www.medic.com.br/,"Av. Cel. Fernando Ferreira Leite, 1.520 - Sala 1212 - Jardim Nova Alianca, Ribeirão Preto - SP, 14026-020, Brazil",5.0,7.0,+55 16 3289-8272,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Brasil Med Material Médico Hospitalar,,"Estr. de Itapecerica, 7201 - 2 - Conj. Hab. Jardim Sao Bento, São Paulo - SP, 05858-002, Brazil",4.7,20.0,+55 11 5821-0254,"health, point_of_interest, store, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Vital Hospital Comercial Ltda,http://www.vitalhospitalar.com.br/,"R. Victorino, 207 - Galpão 06 - Jardim Mutinga, Barueri - SP, 06463-290, Brazil",5.0,3.0,+55 11 94778-2850,"health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
MEDCOM - Distribuidora de Medicamentos e Materiais Hospitalares,http://www.medcom.net.br/,"R. da Gávea, 547 - Vila Maria, São Paulo - SP, 02121-020, Brazil",4.7,13.0,+55 11 2628-7867,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Asamed Distribuidora | Médico-Hospitalar,http://www.asamed.com.br/,"R. da Independência, 1163 - Areias, São José - SC, 88113-280, Brazil",4.4,7.0,+55 48 3034-5714,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
MDK HOSPITALAR - Distribuidora de Materiais Médicos e Hospitalares,,"Tv. Cinco, 05 - QUADRA 14 - Chacara Itapiracó, São Luís - MA, 65054-882, Brazil",,,+55 98 98428-1988,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
BS Medical Distribuidora Médico Hospitalar LTDA,http://bsmedical.com.br/,"R. Dr. Américo Figueiredo, 1367 - Jardim Simus, Sorocaba - SP, 18055-132, Brazil",5.0,18.0,+55 15 3318-5781,"health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Alfa Distribuidora de Materiais Hospitalares e Hemodiálise,,"R. Francisco Jose Albuquerque Pereira, 880 - Cajazeiras, Fortaleza - CE, 60864-520, Brazil",5.0,4.0,+55 85 4141-2445,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
DISTRIBUIDORA MATMED HOSPITALAR,https://www.matmedhospitalar.com/,"Av. Antônio Sales, 913 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-101, Brazil",5.0,1.0,+55 85 99827-0053,"wholesaler, health, point_of_interest, establishment",Google Places API,Distribuidora materiais medico hospitalares Brasil
Distribuidora BRASIL,http://www.distribuidorabrasilmed.com.br/,"Rua MP 06, Qd 16-A Lote 01 304 - Residencial Marília, Sen. Canedo - GO, 75250-000, Brazil",4.8,10.0,+55 62 3565-1600,"wholesaler, health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
SOS DISTRIBUIDORA IMPORTADORA E EXPORTADORA DE PRODUTOS PARA SAÚDE LTDA.,,"Av. Ângelo Moreira da Fonseca, : 6035 - Zona I-A, Umuarama - PR, 87504-050, Brazil",,,+55 44 2020-0822,"health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
VR Medical Importadora e Distribuidora de Produtos Médicos,https://www.vrmedical.com.br/,"Edifício Garden Office - R. Batataes, 391 - Jardim Paulista, São Paulo - SP, 01423-010, Brazil",,,+55 11 3884-1976,"point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
Official Produtos para Saúde,,"Av. Eng. Francisco Rodolfo Simch, 117 - Sarandi, Porto Alegre - RS, 91130-210, Brazil",,,+55 51 98227-2829,"wholesaler, health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
Brazil Health,http://www.brazilh.com.br/,"R. Lino Luiz da Silva, 208 - Sertão do Maruim, São José - SC, 88122-075, Brazil",5.0,24.0,+55 48 99117-2309,"store, health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
Medical Brazil,,"Rua Orense, 41 salas 1101/1102 - Centro, Diadema - SP, 09920-650, Brazil",5.0,3.0,+55 11 3938-0070,"store, health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
Top Med Importação E Distribuição,http://www.topmedbrasil.com.br/,"Metropolitan Mall - Av. Dep. Jamel Cecílio, 2690 - Andar 27, Sala 2705 - Jardim Goiás, Goiânia - GO, 74810-100, Brazil",,,+55 62 3642-9440,"wholesaler, store, health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
Brazil Health Produtos Hospitalares,,"Fazenda Santo Antônio, São José - SC, 88104-732, Brazil",,,,"health, point_of_interest, establishment",Google Places API,Importadora produtos saúde Brasil
The Smile Company: Dental Implant Center,https://thesmilecompany.com/,"2078 Woodruff Rd B, Greenville, SC 29607, USA",4.9,314.0,+1 864-548-9470,"dentist, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Titan Implants Inc,http://www.titanimplants.com/,"18 Columbia Ave, Bergenfield, NJ 07621, USA",4.7,62.0,+1 201-439-0470,"point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Dente Pró Inglesess,https://dentepro.com.br/,"Rod. Armando Calil Bulos, 6055 - Ingleses do Rio Vermelho, Florianópolis - SC, 88058-001, Brazil",4.5,302.0,+55 48 3380-5210,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Dental Implant Technologies,https://dit-usa.com/,"9414 E San Salvador Dr #112, Scottsdale, AZ 85258, USA",5.0,37.0,+1 800-452-0582,"health, store, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Odonto Company Porto União,,"R. Sete de Setembro, 102 - Centro, Porto União - SC, 89400-000, Brazil",5.0,2.0,+55 42 99806-4843,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Odonto Company Tijucas - SC,,"Rua Alexandre Ternes Neto, 70 – Centro, Tijucas, Cep:, Tijucas - SC, 88200-000, Brazil",4.6,85.0,+55 47 99746-2745,"dental_clinic, dentist, doctor, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Carolina Periodontics and Dental Implants,https://carolinaperioandimplants.com/,"233 E Blackstock Rd Ste D, Spartanburg, SC 29301, USA",5.0,224.0,+1 864-586-5004,"dentist, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Dentelli Itajaí,https://dentelli.com.br/,"R. Dr. Nereu Ramos, 67 - Centro, Itajaí - SC, 88301-215, Brazil",4.9,601.0,+55 47 2125-1327,"dentist, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
OdontoCompany Schroeder,https://linktr.ee/odontocompany_schroeder,"R. Mal. Castelo Branco, 3246 - Sl 03 - Centro, Schroeder - SC, 89275-000, Brazil",4.9,85.0,+55 47 99651-0116,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
OdontoCompany,,"R. Adhemar da Silva, 1096 - Kobrasol, São José - SC, 88101-091, Brazil",3.8,51.0,+55 48 99145-8513,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
OdontoCompany Blumenau - Itoupava,http://linktr.ee/odontocompany_itoupava,"Rua Dr. Pedro Zimmermann, 6273 - sala 1 - Itoupava Central, Blumenau - SC, 89068-001, Brazil",4.8,100.0,+55 47 99172-5354,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
OdontoCompany,,"R. João de Oliveira Filho, 243 - Centro, Imbituba - SC, 88780-000, Brazil",4.9,59.0,+55 48 3701-0150,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
OdontoBlumenau,https://campanhas.opsolucoesdigitais.com.br/odonto-blumenau-implantes-dentarios,"R. XV de Novembro, 866 - Centro, Blumenau - SC, 89010-000, Brazil",4.5,230.0,+55 47 99164-1110,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
IDC Implant & Dental Company,https://www.idcimplant.com/it/,"Viale Europa, 126/o/p, 55012 Capannori LU, Italy",3.5,2.0,+39 0583 308371,"dentist, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Corbari Centro de Odontologia Especializada | Dentista em Gaspar,https://corbariodontologia.com.br/,"R. Doralício García, 163 - Centro, Gaspar - SC, 89110-013, Brazil",5.0,425.0,+55 47 98810-0928,"dentist, dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Jurerê Medical Center- Clínica de Saúde e Bem Estar- Coworking,http://www.jureremedical.com.br/,"Rodovia Jornalista Maurício Sirotski Sobrinho, 5145 - Jurerê, Florianópolis - SC, 88053-700, Brazil",4.5,54.0,+55 48 3028-1030,"dental_clinic, consultant, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
dental Excellence Itajaí,https://www.instagram.com/odonto_excellence_cordeiros,"R. Dr. Reinaldo Schmithausen, 1200 - Cordeiros, Itajaí - SC, 88310-000, Brazil",4.7,365.0,+55 47 3083-2200,"dental_clinic, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Vivare Consultórios Integrados,https://www.vivareconsultorios.com.br/,"R. Arthur Max Doose, 153 - SL 802 - Pioneiros, Balneário Camboriú - SC, 88331-085, Brazil",4.2,10.0,+55 47 99284-7000,"dental_clinic, dentist, hospital, doctor, consultant, health, store, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
OdontoCompany Balneário Barra do Sul,https://linktr.ee/odontocompany.bbs,"Av. Jaraguá do Sul, 563 - Costeira, Balneário Barra do Sul - SC, 89247-000, Brazil",,,+55 47 3407-1753,"dental_clinic, dentist, doctor, health, point_of_interest, establishment",Google Places API,Dental Implants Manufacturer Santa Catarina
Art Medical Produtos Médico Hospitalares Ltda,https://artmedical.com.br/,"R. Domingos Crescêncio, 394 - Sala 202 - Santana, Porto Alegre - RS, 90650-090, Brazil",4.2,5.0,+55 51 3231-3415,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Quallys - Products for Health and Quality of Life,http://www.espacoquallys.com.br/,"Av. Wenceslau Escobar, 1838 - Tristeza, Porto Alegre - RS, 90035-075, Brazil",4.9,191.0,+55 51 3110-8690,"shoe_store, health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
"Quallys CPAP, Fisio e Produtos Médicos Hospitalares - Unidade Centro",http://www.espacoquallys.com.br/,"Rua Professor Annes Dias, 150 - Centro Histórico, Porto Alegre - RS, 90020-090, Brazil",4.9,92.0,+55 51 99008-4643,"shoe_store, health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Quântica W - Fornecedor de Produtos Médicos e Hospitalares,https://www.quanticaw.com.br/,"R. Barão do Amazonas, 756 - Sala 102 - Jardim Botânico, Porto Alegre - RS, 90670-001, Brazil",4.8,29.0,+55 51 3388-3577,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
"OXIGENAR PORTO ALEGRE -LOCAÇÃO E VENDA DE CPAP, BIPAP, MÁSCARA, CONCENTADOR E CILINDRO DE OXIGÊNIO",https://loja.oxigenar.com.br/cpap-loja-oxigenar-porto-alegre.html,"Edifício MedCenter, torre A - Av. Soledade, 569 - Sala 904 - Três Figueiras, Porto Alegre - RS, 90470-340, Brazil",4.9,219.0,+55 51 99400-7335,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Maximed Sul Comércio de Produtos Médico-Hospitalares Ltda,https://www.maximedsul.com.br/,"Av. Amazonas, 1411 - São Geraldo, Porto Alegre - RS, 90240-542, Brazil",5.0,16.0,+55 51 3342-0002,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
