Scraped_Emails,Phone,index,Decision_Maker
faleconosco@vivamedicamentos.com.br,(61) 3551-6580,1011,Responsável Tecnico - Responsável Tecnico
,(62) 99367-0457,1008,
contato@fflogistica.com.br,(21) 97921-7074; (21) 3882-3943,1059,
dentalborges@dentalborges.com.br,(21) 3872-1919; (21) 3177-6777,1075,
,(62) 3588-2646,975,
vilavalqueire@expressahospitalar.com.br; taquara@expressahospitalar.com.br; realengo@expressahospitalar.com.br,,1043,
servodonto@servodonto.com.br,(21) 2222-2775; (21) 2507-0659,1074,
cursos@slmandic.edu.br,(19) 3211-3600,1106,Direito Médico - Médico
,(21) 2233-1989; (21) 2516-0802,1024,Líder Mundial No Desenvolvimento - Líder; Fabricação De Equipamentos Médicos De - Líder; Diagnóstico Para Uso Profissional - Líder
,(21) 3251-8190; (21) 96979-1126,1089,Cirurgião Dentista - Cirurgião; Cirurgiã Dentista - Dentista
sac@alphasurgical.com.br,(21) 2784-0750; (21) 99752-9603,1099,
,,1085,Equipo Macrogotas Simples - médico; Produtos Médicos - especialista
,(21) 97662-9868,1064,
orcamentos@dinamicamedical.com.br,(62) 99953-7070,983,
,(61) 3362-5000,905,
,(21) 99329-8708,1105,Universidade Federal - Especialista; São Leopoldo Mandic - Especialista; Cirurgião Dentista - Cirurgião
,,1103,Agenda Diretor - Diretor; Laudo Médico - Médico
carla.ramos@int.gov.br; erika.silveira@int.gov.br; olga.ferraz@int.gov.br,(21) 2123-1018,1045,Conselho Diretor - Diretor; Plano Diretor - Diretor
dentalmv@dentalmv.com.br,(21) 98244-0256; (55) 2198-2440,1091,
,(21) 96436-2456,1087,
,(62) 3941-5655,1016,
,(31) 98403-0914; (32) 3323-1300,1124,
sac@pamed-rio.com.br; contato@pamed-rio.com.br,(21) 3439-9761; (21) 3439-9754,1030,
comercial@laboratoriodentalprogresso.com.br,,1136,
indra@maquinacohnwolfe.com,,1065,International Managing Director - Director; Operaciones Tech - Diretor; Administração Pública - Diretor
,(21) 99329-8708,1107,
dario.tanure@blueoceantech.com.br,,1110,
contato@kor3.com.br,(31) 99759-9077,1142,
balder@balderindustria.com.br,(31) 3629-9300,1153,
,,1092,Rua Doutor Celestino - Doutor
contato@elmedcirurgica.com.br,(31) 3292-0222; (31) 99115-0950,1162,
vendas@valentepharma.com.br,(21) 2426-9439; (21) 2426-9464,1028,
,(27) 3019-8253,942,
,(31) 3296-5045,1131,
comercial@labordentbh.com.br,(31) 99778-7208; (31) 99864-4925,1120,
contato@zimedical.com.br; vendas@zimedical.com.br,(31) 3223-6775,1133,
bramelbrasilmedica@gmail.com,,1169,Belo Horizonte - Médico; Produtos Ortopédicos - Médico; Afonso Pena - Médico
,(31) 3646-0905; (35) 5717-6400,1181,Cirúrgica Líder - Líder
sac@bravir.com.br,(31) 3355-1555,1151,
contato@chrismedical.com.br,(21) 99998-5202,1097,
,(31) 3273-7757; (31) 99644-9101,1114,
,(31) 3541-6190,1126,
,(61) 3233-0536; (61) 3233-2958,895,
cotacao@axiste.com.br; contato@axiste.com.br,(21) 3094-9750,1100,
,,1173,Santa Maria Minas - Diretor
contatocirurgicamg@gmail.com,(31) 98335-0871; (31) 3317-6906,1123,
alfa@alfamedicoes.com.br,(31) 3222-5553,1121,
proimplanto.odontologia@gmail.com,,1180,Pós Graduação - Especialista; Próteses Dentárias - Especialista; Cirurgias Avançadas - Especialista
vendas@promodental.com.br,(31) 3253-3400,1198,
atendimento@dentaloralline.com.br,(11) 91298-8569; (11) 3815-3335,1223,
contato@ipobrasil.com.br; contato.mg@ipobrasil.com.br; contato.df@ipobrasil.com.br,(19) 3236-0500; (31) 97155-9853,1093,
contato@ellodistribuicao.com.br,(62) 4009-2100,1009,
odontobhz@gmail.com,(31) 99915-0206,1197,
contato@ortopediareabilit.com.br,(11) 98751-9283; (11) 2279-2958,1234,
atendimento@mpolachini.com.br,(11) 99357-1260; (11) 3467-9419,1208,
contato@portosurgical.com.br,,1098,
,(11) 2063-4903,1232,
ouvidoria@dentalfree.com.br; adm.ecommerce@dentalfree.com.br,(31) 9695-6129; (31) 3201-8302,1190,
biocirurgica@biocirurgica.com.br,(31) 3464-1985; (31) 99108-1954,1160,
,(31) 97508-7703; (31) 4042-3123,1148,Sou Médico - Médico
ortotecno@gmail.com,(31) 98799-1768; (31) 98349-5834,1128,
sac@qualitycommerce.com.br; contato@quality.com.br; sac@quality.com.br,(31) 3474-4000,1137,
,(11) 3262-4750,1213,Prótese Dentária - Especialista; Dentista Responsável - Dentista; Clínica Especialista ImplArt - Especialista
financeiro@dentalhirel.com.br,,1194,
contato@spinesys.com.br,,1257,
,(21) 3256-0288; (21) 3813-5577,1096,
gleison@dentalshalon.com.br,(31) 3271-9430,1196,
sac@tecnomedi.com.br,(24) 98182-9123; (78) 98949-2533,1202,Inovação Constante - médico
marketing@realmedica.com.br; comercial@realmedica.com.br,(28) 3028-5584; (21) 97266-2550,1265,
contato@vitalhealthtec.com.br,(21) 98787-1005,1172,
,(31) 2551-3262; (31) 98269-2975,1188,
lojavirtualdentalprogressosp@gmail.com,(11) 2539-6856; (11) 2476-3357,1220,
imprensa@macominstrumental.com.br; alexandre@macominstrumental.com.br; macom@macominstrumental.com.br,(11) 2431-4636; (10) 2430-7006,1237,
dentalnorte@gmail.com,,1247,
sac@fradel-med.com.br,(11) 98263-4766; (11) 5562-3541,1238,
contato@dentaladvance.com.br,(11) 3231-0750,1276,
,(48) 99925-1169,1262,
,(21) 99622-9733; (21) 97080-5965,1263,Material Médico Que Cuida - Médico; Sua Família - Médico; Medical Mettler - Médico
ecommerce@ortodente.com,(31) 3296-5050,1195,
contato@intralab.com.br,(11) 5555-3296,1300,
,(90) 8607-3057; (78) 98415-4413,1259,
saudevida@saudevidacirurgica.com.br,(31) 99208-3302,1167,
contato@icevirtual.com.br,(11) 3901-5352; (11) 3906-1630,1248,
minasmedical@minasmedical.com.br,(31) 2112-5151,1261,
dentallaser@dentallaser.com.br,,1267,
sp.cirurgicos@gmail.com,(11) 94751-2804; (11) 2691-9590,1242,
rodrigo@artisdente.com.br,(11) 94590-7122; (11) 3085-5278,1303,
vendas@dormed.com.br,(31) 3474-9151,1171,Diagnóstico Médico - Médico
dentalzn87@gmail.com,(11) 2537-5141,1219,
saopaulo.sp@lojaodasclinicas.com.br,(11) 3673-3561; (11) 94818-9595,1287,Hospitalar Dentista - Dentista; Cuba Rim Aço Inox Acessório - Dentista
,(21) 99622-9733; (21) 2234-7070,1325,Material Médico Que Cuida - Médico; Sua Família - Médico; Medical Mettler - Médico
,(11) 97757-1742,1239,
vendas4@amefre.com.br,(11) 2283-5979; (10) 5913-5300,1272,
contato@waks.com.br,(11) 97300-3668,1218,
randmed@randmed.com.br,(11) 3966-0524,1240,
comercial@studiobrudent.com.br,(11) 4119-4259; (11) 96829-0304,1315,
,,1311,João Carlos - CEO
,(65) 3023-2400; (62) 3293-1414,970,
,(18) 5398-2670; (80) 7760-5409,1204,
,(51) 3907-1001; (51) 98104-0227,1273,Serviços Médico - Médico
,(11) 97128-1018,1304,
,(11) 2577-7899,1335,
contato@dentelli.com.br,(47) 2125-1327; (47) 92003-6578,1253,Dentista ItajaÃ - Dentista; Rua Doutor Nereu Ramos - Doutor; Contato Dentista - Dentista
,(51) 99008-4643; (51) 98617-0133,1251,Equipamentos Médico Hospitalar - Médico; Vestuário Médico - Médico
,(31) 3481-1177; (82) 3025-4356,1170,Visual Material Hospitalar - médico
memcirurgica@memcirurgica.com.br,(11) 5539-7557; (11) 96857-4582,1277,
atendimento@helterhospitalar.com.br,(11) 3656-6013; (11) 3603-0124,1347,
sac@jmmed.com.br,,1357,
rwr@rwr.com.br,(11) 3465-5400; (11) 94789-9224,1285,Equipamentos Médico Hospitalares - Médico
,(15) 98151-4495,1294,
,(11) 3277-4967; (11) 99798-9030,1340,
,(11) 4544-0708; (11) 4544-0707,1369,
eduardo@gmeddistribuidora.com.br,(11) 2996-6212; (11) 97575-9894,1376,
contato@odontoequipamentos.com.br,(11) 2776-7961; (11) 2359-1827,1275,
,(11) 5011-5669; (11) 5011-4977,1350,
comercial@sxmedic.com.br,(62) 3273-6106; (61) 99859-2307,853,
orcamento@salutemhospitalares.com.br,(11) 93227-7039; (11) 2202-9000,1360,
,(51) 99008-4643; (51) 98617-0133,1292,Equipamentos Médico Hospitalar - Médico; Vestuário Médico - Médico
sac@g3saude.com; vendas@g3saude.com,(21) 3549-6927; (21) 2137-4995,1324,
distribuidorazarb@gmail.com,(11) 95161-5090,1373,
leblonmed@hotmail.com,(21) 98574-8277; (21) 2294-8417,1264,Leblon Med - médico; Leblon Med Material Médico - Médico; Material Médico - Médico
sac@cnph.com.br,(11) 3385-9339,1281,
yesomedicamentos@gmail.com,(11) 93406-6003,1370,
medpharma.mp@gmail.com,(11) 91276-4789; (11) 99599-2942,1375,
vendas@abcinstrumentos.com.br,(11) 2353-4000,1245,
sac@innport.com.br,(11) 2609-7300,1374,
,(31) 97354-9620,1164,
contato@lcaprotese.com.br,(11) 3819-2202,1313,
,,1271,Diapasão Médico - Médico
contato@grupopromedica.com.br,(21) 3860-3136; (21) 2585-5758,1322,Grupo Promédica - médico
comercial@orthoface.com.br,(41) 3075-4100,1395,
,(11) 3740-7171,1226,
comercial@amandamoveis.com.br,(11) 99183-5865; (11) 3571-5376,1359,
,(11) 99265-4569,1334,
,(62) 3701-5474,1383,
,(51) 99787-1786; (51) 99253-1385,1430,
contato@dominio.com.br; contato@procular.com.br,(11) 3224-8106; (11) 3221-9525,1293,
contato@dermatologica.com.br,(41) 99199-4993; (41) 3324-4560,1414,
,(41) 3288-8000,1390,
guarulhos@fisiomedaluguel.com.br; santana@fisiomedaluguel.com.br,(11) 2479-4002; (11) 97502-1998,1353,Rua Dr - Dr.; São Paulo - Dr.
contato@dentalrs.com,(51) 98242-4222; (51) 3388-1881,1393,
,(41) 99216-6406,1408,
comercial@dgraos.com.br,(11) 95070-6070; (11) 3326-4499,1371,
contato@exclusivedent.com.br,(11) 92159-3856,1306,Prótese Dentária - fundador; Especialista Agora - Especialista
,(41) 3501-1668,1399,
maimplantodontia@gmail.com.br,(41) 99281-4979,1397,
,(41) 99806-0327; (41) 99806-0480,1403,
contato@health.eng.br,(11) 97669-4129,1330,
encarregado.lgpd@licimed.com.br; licimed@licimed.com.br; denuncia@licimed.com.br,(51) 3076-8181,1415,
aklimper@aklimper.com.br,(17) 91143-5326; (11) 2036-8763,1356,
hospitalarmultimarcasbr@gmail.com,(51) 99701-1114,1405,
atendimento@gowhite.com.br,(51) 99248-7531; (51) 3557-0082,1426,
,(51) 3307-0707,1422,
,(80) 95645-0001; (41) 99832-2577,1411,
,(11) 3665-8550,1337,Alex Shoes - Diretor; América Latina - especialista; Emit Hyundai - CEO
contato@daquino.com.br,(18) 3659-1780,1346,São Paulo - médico
betterlifeloc@gmail.com,(51) 9380-6551,1404,
contato@denadallab.com.br,,1455,Cirurgião Dentista - Cirurgião; Prótese Dentária - Especialista; Cirurgião Bucomaxilofacial - Cirurgião
contato@implanew.com.br,(41) 98832-3523,1433,
site@dentalweb.com.br,(51) 3083-5100,1425,
contato@pharmak.com.br,(11) 99999-9999; (11) 3864-7454,1343,
,(11) 3966-1020,1351,
,(21) 99851-7003; (21) 3851-7003,1328,
,(41) 99649-8752; (41) 3039-1019,1410,
contato@ngamoveishospitalares.com.br,(51) 99981-3555; (51) 3020-0555,1409,
,(51) 3388-8635,1456,
contato@traumashop.com.br,,1453,
contato@medserv-sp.com.br,(11) 4930-7862; (11) 4352-3522,1282,
,,1462,Dentista Responsável Técnico - Dentista
,(41) 3352-3328,1466,
,(41) 99630-1061; (41) 3203-0241,1478,
atendimento@hospitel.com.br,(41) 3044-0340; (41) 3016-3100,1447,
contato@prosthetic.com.br,,1450,
,(41) 99688-7336; (41) 3081-2216,1401,
atendimento@hospitel.com.br,(41) 3044-0340; (41) 3016-3100,1461,
atendimento@hospitel.com.br,(41) 3044-0340; (41) 3016-3100,1454,
,(41) 3296-9687,1394,
contato@maxifarma.com.br,(41) 3333-7163,1391,
atendimento@contatti.com.br,,1494,
atendimento@aservascuram.com.br; aservascuram@aservascuram.com.br,(41) 3274-3343,1467,
contato@ortomedmoveis.com.br,(62) 98447-2594; (62) 3283-7437,1348,
,(41) 98864-0146; (41) 3013-0237,1444,Nosso Fundador - Fundador
,(41) 3311-1723; (17) 5407-1300,1479,Copyright Orto Curitiba Material Médico - Médico
contato@outbox.com.br; contato@outboxmob.com.br,(41) 3349-3065,1446,Out Box - líder
comercial@doctus.med.br,(41) 3357-9966; (41) 3079-1366,1481,
,(51) 99955-7005,1451,Por Método - Médico; Ortopedia Facial - Especialista; Consultório Médico - Médico
,,1489,Edifício Centro Médico Brasília - Médico; Asa Sul - Médico
comercial@maxtonlogistica.com.br,(41) 3069-9800,1508,
,(51) 3337-3197; (51) 3084-3197,1427,
contato@localife.com.br,(51) 3084-8004,1476,
,(41) 3010-1942,1355,
gift@oralgift.com; comercial@oralgift.com,(41) 3332-0300; (41) 93300-5238,1434,
bruno@orthohouse.com.br,(51) 98439-2853; (51) 99701-1114,1465,
contato@apsisinfo.com.br,(31) 97189-2100; (31) 2514-1160,1525,
equipemkt@biomed.com.br,(48) 3036-1417; (51) 3275-3535,1506,
clinical-tech@hotmail.com,,1516,
,,1490,Prótese Dentária - Especialista; Porto Alegre - dentista; Miguel Tostes - Especialista
msortopedia@msortopedia.com.br,(41) 3024-5204,1472,
,(51) 99603-1166; (91) 8094-6000,1460,
,(48) 99150-1457,1550,
,(41) 3302-2123,1483,
comercial@promm.com.br,(51) 99939-1560; (51) 3342-4962,1419,
comercial@metalicmedical.com.br; vendas@metalicmedical.com.br,(41) 3033-2016,1484,
sac@bulaverdde.com.br,(41) 3015-4205; (41) 3015-1668,1436,
,(51) 99701-4507; (51) 99973-0960,1546,
,(51) 2131-7221,1500,
contato@marcasul.com.br,(51) 98188-0960; (51) 3095-2980,1491,
sac@dmparana.com.br,,1552,
,,1555,Responsabilidade Sócio Ambiental - Sócio
andrey@digitalhospitalar.com.br; adair@digitalhospitalar.com.br; vendas@digitalhospitalar.com.br,(41) 99151-1885; (41) 3152-1885,1477,
virtual@ortopediavaalmed.com.br,,1400,
,(31) 99597-9668,1526,Product Owner - Owner; Head Digital - Head
sac@cafcenter.com.br,(19) 98177-2171; (19) 3367-7333,1554,
,(51) 3012-7587; (11) 2364-8229,1388,
,,1567,Médico Cardiologista - Médico
comercial@incasa.ind.br,(47) 3205-7100; (47) 3205-7000,1571,
contato1@s2saude.com.br; financeiro@s2saude.com.br,(27) 99864-7428; (27) 99948-6511,1584,
sac@pldistribuidora.com.br,,1532,
prokinetics@prokinetics.com.br; comercial@prokinetics.com.br,(19) 3299-2194; (19) 3871-4172,1569,
betel@beteldescartavel.com.br,(41) 3077-7117,1517,
,(41) 3665-5700,1486,
sac@ibmp.org.br; comunicacao@ibmp.org.br; faleconosco@ibmp.org.br,(41) 3165-4240; (41) 3165-4221,1528,
comercial@clinux.com.br,(27) 3327-6976; (80) 91819-0001,1586,Clinux Telerradiologia - médico
vendas@qualitymedicalsp.com.br,(11) 2965-9898; (11) 2302-8170,1591,
vendas@promefarma.com.br,(41) 3165-7900,1437,
,(41) 3266-0852,1527,
,(47) 3466-0305; (47) 3423-1712,1557,
,(48) 3039-3031,1464,
,(11) 5070-1799; (11) 3136-1540,1582,
,(34) 6170-0900,1590,
comercial@magnumimport.com.br,(51) 99987-6060; (51) 3111-3011,1463,Médico Urologista - Médico
odontoedontec@gmail.com,,1605,
rcmoveis@rcmoveis.com.br,(19) 2119-9000,1558,
,(41) 3085-2053,1536,
,(41) 3353-1314,1498,Head Spot - Head
contato@galileo.vix.br,(27) 3208-2128; (27) 99265-0176,1626,
comercial@igmed.com.br,,1600,
sac@equipus.com.br,(51) 98154-1222; (10) 3633-5001,1579,
,(47) 3461-9900,1574,Diretor Presidente - Diretor
ecommerce3@orthomundi.com.br,,1621,
joipress@joipress.com.br,(47) 3454-0972,1643,
digitallabinstitute@gmail.com,(27) 99635-2309,1619,
comercial@bauenart.com.br,(11) 96638-4030,1229,
diretoria@atelieruniao.com.br; atendimento@atelieruniao.com.br,(31) 3201-3418,1549,
,(27) 3212-4444,1580,Marcelo Frisso - Diretor; Diretor Financeiro - Diretor; Gestão Humana - Diretor
,,1595,Farmacêutico Nacional - líder; Brace Pharma - líder; Portal Médico - Médico
,(47) 99191-1870; (47) 99658-6256,1610,
contato@saudelavi.com,(16) 99325-2028; (16) 3610-2680,1650,
,(11) 3288-0208; (11) 3289-5473,1658,
contato@cemedlog.com.br,(11) 99727-0104,1638,
atendimento@belaclin.com.br,(11) 3455-6941; (11) 97702-2320,1656,Chácara Santo Antônio - Dentista; São Paulo - Dentista
,,1606,Material Médico Hospitalar - Médico
mercadomed@mercadomed.com.br,(11) 2609-7848; (10) 5541-4311,1612,
farmaceutica@infinitypharma.com.br,,1589,
,(16) 2111-3860; (16) 2111-3888,1677,
compras@ortosulortopedia.com.br; responsaveltecnico@ortosulortopedia.com.br; gerencia@ortosulortopedia.com.br,(47) 3426-7345; (47) 3029-4137,1624,
contato@edumedic.com.br,(47) 3013-5611,1597,
sac@onpharma.com.br,(11) 2376-4594,1572,
contato@artemisortopedica.com.br,(41) 3079-9914,1471,
,(47) 3395-6115,1598,
,,1648,Consulta Sócio Decisor - Sócio; Jardim Presidente Dutra - Presidente; Chief Executive Officer - Chief Executive Officer
atendimento@horaios.com.br,(11) 97181-1101; (11) 3842-2626,1657,Marketing Médico - Médico
contato@grupoasfar.com.br,,1575,
sac@medicalald.com.br; rh@medicalald.com.br; financeiro@medicalald.com.br,,1627,
lgzenga@uol.com.br; lgzenga@gmail.com,,1654,
healthlog@mafrahospitalar.com.br,(16) 3516-9567,1639,Lead Time - Lead
,,1664,Life Science Health Care Partner - Partner; Founder AnestWork - Founder; Machado Meyer - Partner
,(51) 3079-1100,1674,
estoquedentalmuller@gmail.com,(51) 3228-8527; (51) 99771-9990,1573,
,(21) 2512-9667; (21) 98772-6525,1716,
dlaemsupporthelp@medtronic.onmicrosoft.com,(17) 6598-5459,1713,
contato@systhex.com.br,,1708,
,(51) 3021-0055,1652,Hospital Ouro Branco - Diretor
,(11) 4438-6444; (31) 8963-9900,1611,Quem Somos - Médico; Produtos Médico - Médico; Produtos Médico Hospitalares - Médico
,(11) 97639-6153,1698,Trabalhador Marfrig - Diretor
,,1640,Eiichi Nakanishi - Presidente
sac@minancora.com.br,(47) 3461-6400,1585,
sac@apisflora.com.br,,1722,Apis Flora - Especialista; Produtos Naturais - Especialista
clinica@skdermato.com.br,(21) 99130-4383; (21) 2239-8961,1718,
,(21) 2511-2561; (21) 2274-5892,1704,Sociedade Brasileira - Especialista
marketing@instramed.com.br,,1636,
contato@medisul.com.br,(51) 4100-0026; (51) 98164-3748,1725,
,,1714,Harvard Medical School - médico
eximiaimplantes@gmail.com,(32) 3021-1134; (32) 9993-5208,1710,
unihealth@unihealth.com.br,(11) 3555-5800,1596,
,(41) 3324-3058; (41) 3232-3674,1702,
contato@biafigueiredobf.com,(67) 99602-0088; (67) 99828-0058,1660,Grupo Prada - CEO; Bia Figueiredo - CEO; Andrea Guerra - CEO
contato@paularaso.med.br,(21) 98891-4010; (21) 2249-7973,1717,
,(11) 97069-7706,1724,
,(41) 99282-0721; (41) 3203-6828,1530,
,,1601,Fernando Sampaio - presidente; Fernando Sampaio - Presidente
,(11) 2924-9414; (11) 94724-8392,1742,
,(41) 3072-6338; (41) 99801-6338,1538,
contato@surgeon.com.br,(51) 3248-3693,1727,
sac@dgtech.ind.br; dgtech@dgtech.ind.br; sac@edlo.com.br,,1726,
contato@dentalpioneira.com.br,,1749,
contato@ladermato.com.br,(21) 98471-6260; (21) 2522-2051,1715,
,(21) 99537-8727; (21) 3264-6178,1712,
,(47) 3433-2492,1758,
rh@techimportimplantes.com.br; comercial@techimportimplantes.com.br,(19) 3522-9500,1736,
sac@medixbrasil.com.br,,1747,
vendas@titaniumfix.com.br,(12) 98126-9820; (12) 3929-5504,1739,
contato@ferexmedical.com.br,(47) 3801-3188,1745,
,,1720,General Counsel - President; Chief Human Resources Officer - President; Global Operations - President
,(15) 3036-2614,1634,
atendimento@dentaltanaka.com.br,(11) 98433-1920,1734,
portodent@portodent.com.br,,1755,
contato@lumarhospitalar.com.br,(16) 3615-8798,1764,
,(51) 3391-5313,1756,
relacionamento.br@bbraun.com; gfavero@tramaweb.com.br,(11) 95691-9375; (11) 94163-7553,1719,Vendas Aesculap - presidente; Michael Dickscheid - presidente
,(11) 97416-6811,1655,
contato@jcnchospitalar.com.br,(16) 3633-9060; (16) 3966-2454,1768,
vendas@martecmed.com.br,(16) 2138-5353; (16) 98849-5323,1732,
atendimento@rhosse.com.br,,1781,
comercial@dentscler.com.br,(16) 99609-1038; (16) 3456-8110,1743,
,(48) 3241-1100; (51) 3331-0355,1802,
atendimento1@injectcenter.com.br,(16) 4009-9600,1645,
sac@alliage-global.com,,1786,América Latina - líder
,(28) 5747-8600,1791,
,,1779,Hospital São Lucas - diretor; Mais Influentes - Diretor; Hospital São Lucas - Diretor
,(16) 99799-9106,1738,Artigos Médicos - Médico; Médico Ribeirão Preto - Médico
atendimento@decontofarma.com.br,(51) 3225-2767,1723,
contato@216mh.com.br,(51) 99368-0022,1795,
,(19) 3229-6262,1752,
gerencia@oimed.com.br; contato@oimed.com.br,(27) 99787-2344; (21) 92012-0310,1696,
vendas@ctbh.com.br,(31) 3371-3121; (31) 99242-0929,1816,Ultrassom Médico - Médico
,(47) 3026-9999; (47) 3432-9750,1754,
,,1689,Christian Storz - CEO
letmetrial@letmetrial.com,(51) 99560-2023,1776,
,(31) 3271-7890,1822,
orcamento@maxcirurgica.com.br; max@maxcirurgica.com.br,(51) 98137-4769; (51) 3249-0141,1731,
,(31) 3524-8686,1811,
vendas@polarfix.com.br,(11) 4512-8600,1721,
,(16) 99622-2963; (16) 99638-3980,1772,Presidente Castelo Branco - Presidente; Subseção Ribeirão Preto - CEO; André Ali Mere - CEO
,(71) 3042-5632; (11) 3297-0352,1746,
comercial@bbsbrasil.com.br,(41) 99812-0323,1812,
,(51) 3249-5843,1784,
,(61) 98287-0887,1820,
,(71) 3328-0044; (71) 3261-7872,1821,
implantare@implantare.com.br,,1831,
contato@bionica.com.br,(81) 3037-4557,1836,
,(19) 3913-9990,1750,
amparo@amparo.tec.br; info@finbiz.com; amento@amparo.tec.br,(51) 98944-2196,1665,
vendas@ortolancer.com.br,(31) 98498-7301,1813,
alka@alka.net.br,(19) 3242-6458; (19) 3242-3689,1730,
,,1799,Hertz Farmacêutica - especialista; Consumer Health - especialista
,(27) 3182-1000,1844,Shopping Vitória - Médico; Centro Médico Shopping Vitoria - Médico; Centro Médico - Médico
itg@itgmedev.com.br,(81) 3441-0517,1833,
,(61) 3028-4472; (61) 99218-3887,1823,
licitacao@micromedicalsaude.com.br,(61) 3327-0700,1824,
,(47) 3451-3333,1748,Plano Diretor - Diretor; Diretor Técnico - Diretor
,(45) 99978-6688; (45) 3035-2607,1848,Rua Presidente Bernardes - Presidente; Rua Presidente Pádua Fleury - Presidente
contato@lrdental.com.br,(41) 9964-3923; (41) 3045-5995,1843,
,(11) 4586-9833,1744,
atendimento@alfaimplantes.com.br,(16) 3442-0199,1797,
vendas@mzequipamentos.com.br,(71) 3034-4412; (71) 3034-4401,1806,
,(19) 3291-2283,1788,Compliance Cirúrgica - Médico; Equipamentos Científicos - Médico; Cuidados Médicos - Médico
,(21) 3460-1746,1854,
atendimento@asmedicamentos.com.br,(11) 94075-0068,1849,
,(11) 98093-0949; (11) 96072-6191,1763,
,(61) 3964-7889,1805,Clinical Research Director - Director
vendas1@lacmedic.com.br,(19) 3289-4449,1766,
sac@dgtech.ind.br; dgtech@dgtech.ind.br,,1735,Unimed Florianópolis - médico; Santé Surgical - médico
provitah@provitah.com.br,,1842,
,,1853,São José - Diretor
ouvidoria@dentalfree.com.br; adm.ecommerce@dentalfree.com.br,(31) 9695-6129; (31) 3201-8302,1817,
,(51) 3330-1755,1759,Rogério Mengarda - diretor; Diretor Clínico OdontoMengarda - Dr.; Rogério Mengarda - Dr.
gal@saude.sc.gov.br; lacen@saude.sc.gov.br,,1874,
comercial@tklbrasil.com.br,(41) 3022-0926,1834,
faleconosco@peclab.com.br,,1841,
sac@cargoexpresstransportes.com.br,(51) 3374-3535; (51) 99837-3297,1846,
vendas@ox-genium.com.br,(31) 3532-4643; (31) 97161-0987,1866,
,(21) 3681-6073,1858,
,,1807,Indústrias Médico Odontológicas - Médico
atendimento@hrlogistica.com,(31) 99222-4895; (31) 99222-4928,1915,
contato@techmaissaude.com.br,(81) 99622-5948; (81) 99849-3139,1832,
contato@lainformatica.com.br,,1884,
dentalsumare@dentalsumare.com.br; amkodontologia@hotmail.com; cml@microplant.com.br,(11) 98505-0042; (15) 3326-4137,1789,
sante@cirurgicasante.com.br,(31) 99167-6969,1936,
smpit-wanareja@assyifa-boardingschool.sch.id,(82) 2458-8452; (51) 99591-0227,1782,
atendimento@mobraz.com.br,(41) 3023-4365; (41) 99944-0112,1829,
sac@bhfarma.com.br,(31) 2122-9400,1892,
,(81) 99264-7586; (81) 3072-9813,1930,
trauminases@trauminas.com.br; lgpd@trauminas.com.br; contato@trauminas.com.br,(27) 3222-2580; (31) 3045-1955,1886,
cofabiobarbosa@gmail.com,(71) 99412-5387,1827,
vendas@richter.com.br,(11) 3908-7000,1753,
dpo@advicehealth.com.br; comercial@advicehealth.com.br,(48) 3206-0269; (48) 3206-0265,1861,
comunicacao@bhvida.com,(31) 98429-6823,1876,
,(71) 99721-0472; (71) 3321-2046,1867,Realmed Com - Médico; Equipamentos Médico - Médico
ecommerce@saudetec.com.br,(31) 99453-8889,1910,
,(21) 4009-0102; (21) 99459-9140,1850,
,(81) 2123-0440,1826,Romualdo Almeida - diretor; Grupo Interne - diretor; Cirurgião Geral - Cirurgião
atendimento@precisionbones.com.br,,1798,Precision Bones - médico
,,1938,Guia Médico - Médico
,,1680,Bioscience Medical - médico
,(71) 99605-7820,1937,
,(71) 3328-0044; (71) 3261-7872,1955,
,(16) 99303-6643,1770,Sócio Diretor - Sócio; Cirurgião Dentista - Cirurgião; Sou Dentista - Dentista
,(31) 99204-0268,1945,
,(81) 3538-8929,1959,
,(71) 3017-5197; (71) 3235-1399,1947,
,(81) 3221-0662,1954,
endocenter@endocenterpe.com.br,(81) 3265-9050; (84) 3201-5076,1957,
,(21) 4009-0102; (21) 99459-9140,1928,
vendas@cirurgicagervasio.com.br,(31) 3239-5050; (31) 97167-8966,1932,Cirúrgica Gervásio - Médico; Cirúrgica Gervásio - médico; Aparelhos Médicos - Médico
,(48) 3035-4933; (48) 99121-0408,1981,
marketing@fixgrupo.com.br; andrea@fixgrupo.com.br; dpo@fixgrupo.com.br,(61) 3028-8852,1870,Cirurgião Bucomaxilo - Cirurgião; Cirurgião Bucomaxilofacial - Cirurgião
estoque@phoenix.med.br,(41) 99178-5222; (41) 3079-3077,1851,
,(46) 2350-0100,1961,Cadeira Presidente - Presidente
,(62) 99568-3873,1972,
wagner.marques@geobytetecnologia.com.br,,1984,
,(31) 3289-1212,1941,
sac@formathos.com.br,,1964,
contato@santedistribuidora.com.br,(62) 3101-0443,1973,
henrique@mercadoodontologico.com.br,,1980,
comercial@nordpharma.com.br,(81) 4141-2416,1929,
pedidos@cegemed.com.br,(41) 99194-9293; (41) 3333-7000,2002,
,(71) 3312-1810,1963,
,,2001,Responsabilidade Sócio Ambiental - Sócio
sac@smartwalk.com.br,(48) 4042-2330,2014,
artvenddental@gmail.com,(21) 3278-2852; (37) 7075-4000,1994,
